

央视高清,#genre#
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225618/index.m3u8
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225643/index.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225768/index.m3u8
CCTV-4 中文国际,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226340/index.m3u8
CCTV5 体育,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
超级体育,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225767/index.m3u8
CCTV-5+ 体育赛事,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225706/index.m3u8
CCTV6 电影,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
超级电影,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225766/index.m3u8
CCTV-7 国防军事,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV8 电视剧,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
超级电视剧,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225765/index.m3u8
CCTV-9 纪录,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225646/index.m3u8
CCTV-10 科教,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225636/index.m3u8
CCTV-11 戏曲,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226320/index.m3u8
CCTV-12 社会与法,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225637/index.m3u8
CCTV-13 新闻,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226343/index.m3u8
CCTV-14 少儿,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225640/index.m3u8
CCTV-15 音乐,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226342/index.m3u8
CCTV-16 奥林匹克,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226230/index.m3u8
CCTV-17 农业农村,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226345/index.m3u8
CCTV4K 超高清,https://tv.cry33.com/ys4k.php?id=4k
CCTV8K 超高清,https://tv.cry33.com/ys4k.php?id=8k
4KUHD,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225786/2/index.m3u8
CCTV电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
CCTV第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
CCTV怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
CCTV兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
CCTV世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
CCTV风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
CCTV风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
CCTV风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
CCTV央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
CCTV高尔夫•网球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
CCTV央视文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
CGTN,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225747/index.m3u8
CGTN Documentary,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225645/index.m3u8
新华社,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226297/index.m3u8
新华·全球连线,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226298/index.m3u8


卫视,#genre#
江西卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225705/index.m3u8
江西都市2,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?fmt=ts2hls
湖南卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225704/index.m3u8
浙江卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225744/index.m3u8
江苏卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225702/index.m3u8
东方卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225659/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225674/index.m3u8
广东卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225701/index.m3u8
深圳卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225700/index.m3u8
湖北卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225699/index.m3u8
天津卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225698/index.m3u8
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225690/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225691/index.m3u8
山东卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225697/index.m3u8
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225696/index.m3u8
重庆卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225692/index.m3u8
东南卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226326/index.m3u8
河北卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221225610/10000100000000060000000000204115_0.smil/index.m3u8?fmt=ts2hls
四川卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221225487/10000100000000060000000000000126_0.smil/index.m3u8?fmt=ts2hls
广西卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221226211/378719025.smil/index.m3u8?fmt=ts2hls
山西卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225730/index.m3u8
陕西卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225729/index.m3u8
贵州卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225728/index.m3u8
青海卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225727/index.m3u8
吉林卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225680/index.m3u8
云南卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225664/index.m3u8
宁夏卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225726/index.m3u8
新疆卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225725/index.m3u8
甘肃卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225724/index.m3u8
西藏卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225723/index.m3u8
内蒙古卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225667/index.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221226212/10000100000000060000000005383445_0.smil/index.m3u8?fmt=ts2hls
河南卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226196/index.m3u8
厦门卫视,http://hwrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226199/index.m3u8
江西经济生活,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221226206/10000100000000060000000005219195_0.smil/index.m3u8?fmt=ts2hls
江西影视旅游,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221225579/10000100000000060000000000000029_0.smil/index.m3u8?fmt=ts2hls
江西公共农业,http://hwrr.jx.chinamobile.com:8080/TVOD/88888888/224/3221225578/10000100000000060000000000000030_0.smil/index.m3u8?fmt=ts2hls
